size,Triton,Torch
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,48.000000,48.000000
32768.000000,76.800002,78.267515
65536.000000,153.600004,153.600004
131072.000000,227.555555,255.999991
262144.000000,391.649417,384.000001
524288.000000,554.606499,558.545450
1048576.000000,720.175792,682.666643
2097152.000000,744.727267,724.822122
4194304.000000,792.774204,804.945762
8388608.000000,847.448255,862.315773
16777216.000000,885.621612,893.672720
33554432.000000,906.027677,908.120075
67108864.000000,916.587398,918.410470
134217728.000000,919.803518,920.459549
