M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,5.461333,5.461333
384.000000,384.000000,384.000000,13.824000,13.824000
512.000000,512.000000,512.000000,26.214401,23.831273
640.000000,640.000000,640.000000,37.067874,36.571428
768.000000,768.000000,768.000000,52.235336,49.151998
896.000000,896.000000,896.000000,73.943582,61.083825
1024.000000,1024.000000,1024.000000,67.650065,80.951583
1152.000000,1152.000000,1152.000000,85.313826,87.823057
1280.000000,1280.000000,1280.000000,105.448106,110.702698
1408.000000,1408.000000,1408.000000,129.804192,132.970149
1536.000000,1536.000000,1536.000000,98.303997,112.347429
1664.000000,1664.000000,1664.000000,115.370671,132.336939
1792.000000,1792.000000,1792.000000,120.489641,122.167649
1920.000000,1920.000000,1920.000000,137.895263,139.636368
2048.000000,2048.000000,2048.000000,156.796411,158.275623
2176.000000,2176.000000,2176.000000,137.671132,142.531373
2304.000000,2304.000000,2304.000000,132.710398,138.882977
2432.000000,2432.000000,2432.000000,142.611492,154.550950
2560.000000,2560.000000,2560.000000,128.501965,145.635558
2688.000000,2688.000000,2688.000000,142.071373,160.055088
2816.000000,2816.000000,2816.000000,154.113809,158.022489
2944.000000,2944.000000,2944.000000,153.814917,151.939124
3072.000000,3072.000000,3072.000000,162.710068,164.602046
3200.000000,3200.000000,3200.000000,159.906310,164.524424
3328.000000,3328.000000,3328.000000,161.167022,159.625934
3456.000000,3456.000000,3456.000000,159.331159,160.891188
3584.000000,3584.000000,3584.000000,148.130788,157.470043
3712.000000,3712.000000,3712.000000,158.586870,159.580423
3840.000000,3840.000000,3840.000000,149.246964,157.538464
3968.000000,3968.000000,3968.000000,159.267692,160.136403
4096.000000,4096.000000,4096.000000,168.867155,170.286549
